Record #,ID,DOI,Strain,Titer,Product,Type,Substrate,Comment
20740,19857,10.1186/s13068-017-0984-9,-,-,-,-,,-
51329,19857,10.1186/s13068-017-0984-9,,,ethanol,Alcohol,,
20744,19861,10.1007/s13205-017-0985-1,NULL,NULL,NULL,NULL,,
20745,19862,10.1002/btpr.2543,NULL,NULL,NULL,NULL,,
20749,19866,10.1002/mbo3.486,Escherichia coli,268mg/L,2-phenylethylacetate,Other,,
20758,19875,10.1016/j.jbiotec.2016.11.015,Kluyveromyces marxianus,24.0 g/L,lactic acid,Acid,,
20761,19878,10.1016/j.procbio.2016.07.011,Kluyveromyces marxianus,97.7 g/L,ethanol,Alcohol,,
20762,19879,10.1016/j.jbiotec.2016.07.018,NULL,NULL,NULL,NULL,,
20764,19881,10.1016/j.biortech.2016.05.068,Kluyveromyces marxianus,44.58 g/L,ethanol,Alcohol,,
20775,19881,10.1016/j.biortech.2016.05.068,Kluyveromyces marxianus,32.03 g/L,xylitol,Alcohol,,
20786,19892,10.1016/j.dib.2015.08.038,Kluyveromyces marxianus,60.07 g/L,ethanol,Alcohol,,
20791,19897,10.1016/j.ymben.2015.07.008,Kluyveromyces marxianus,51.43 g/L,ethanol,Alcohol,,
20794,19900,10.1007/s10126-015-9638-8,-,-,-,-,,-
51330,19900,10.1007/s10126-015-9638-8,Aureobasidium melanogenum,70.57g/l,pullulan,Polymer,hydrol,
20801,19907,10.1016/j.biortech.2014.10.150,Kluyveromyces marxianus,312.05 g/L,xylitol,Alcohol,,
20807,19913,10.1016/j.enzmictec.2014.04.011,Kluyveromyces marxianus,1.3 g/L,2-Phenylethanol,Alcohol,,
20811,19917,10.1002/bit.24993,Saccharomyces cerevisiae,6.1g/L,2-Phenylethanol,Alcohol,,
20815,19921,10.1007/s10529-013-1251-1,-,-,-,-,,-
51331,19921,10.1007/s10529-013-1251-1,,,,,ethanol,
20825,19931,10.1007/s12010-012-9749-x,NULL,NULL,NULL,NULL,,
20832,19938,none,Saccharomyces cerevisiae,55 g/L,ethanol,,,
20835,19941,10.1007/s10529-010-0384-8,-,-,-,-,,-
51332,19941,10.1007/s10529-010-0384-8,Kluyveromyces marxianus,69 g/l,ethanol,Alcohol,,
20837,19943,10.1002/ffj.1996,-,-,-,-,,-
51333,19943,10.1002/ffj.1996,,,2-phenylethanol,Other,,
20840,19946,10.1007/s00253-010-2553-z,Kluyveromyces lactis,79/5 mmol/L,arabitol,Alcohol,,
20847,19953,10.1111/j.1567-1364.2008.00384.x,NULL,NULL,NULL,NULL,,
20861,19967,10.1128/AEM.71.4.1964-1970.2005,-,-,-,-,,-
51334,19967,10.1128/AEM.71.4.1964-1970.2005,Saccharomyces cerevisiae,55.6 g/l,L-lactic acid,Acid,,
20873,19979,none,NULL,NULL,NULL,NULL,,
20879,19985,10.1002/(SICI)1097-0290(19990920)64:6<692::AID-BIT8>3.0.CO;2-J,NULL,NULL,NULL,NULL,,
20880,19986,none,Kluyveromyces lactis,109 g/L,lactic acid,Acid,,
51335,19988,10.1007/s004490050647,Pseudomonas sp,,,,,
20882,19988,10.1007/s004490050647,-,-,-,-,,-
51336,19996,none,,,,,ethanol,
20890,19996,none,-,-,-,-,,-
51337,20002,none,Kluyveromyces marxianus,54 g/l,ethanol,Alcohol,ethanol,
20896,20002,none,-,-,-,-,,-
51338,20003,10.1007/PL00009007,Kluyveromyces marxianus,53 g/l,ethanol,Alcohol,ethanol,
20897,20003,10.1007/PL00009007,-,-,-,-,,-
51339,20007,10.1016/S0144-8609(98)00021-1,Kluyveromyces fragilis,,,,,
20901,20007,10.1016/S0144-8609(98)00021-1,-,-,-,-,,-
20904,20010,10.1038/sj.jim.2900511,NULL,NULL,NULL,NULL,,
51340,20012,10.1007/s004490050401,Kluyveromyces marxianus,10.5 g/l,ethanol,Alcohol,,
20906,20012,10.1007/s004490050401,-,-,-,-,,-
51341,20015,10.1023/A:1018422302176,Kluyveromyces marxianus,,,,,
20909,20015,10.1023/A:1018422302176,-,-,-,-,,-
20910,20016,none,Kluyveromyces marxianus,20 g/L,ethanol,Alcohol,,
51342,20018,10.1023/A:1018578806605,Kluyveromyces marxianus,68.6 g/L,ethanol,Alcohol,,
20912,20018,10.1023/A:1018578806605,-,-,-,-,,-
51343,20025,10.1007/PL00008941,Kluyveromyces marxianus,,,,,
20919,20025,10.1007/PL00008941,-,-,-,-,,-
51344,20026,10.1023/A:1018315003916,Kluyveromyces marxianus,12g/l,ethanol,Alcohol,ethanol,
20920,20026,10.1023/A:1018315003916,-,-,-,-,,-
51345,20027,10.1023/A:1018335608459,,,,,glucose,
20921,20027,10.1023/A:1018335608459,-,-,-,-,,-
51346,20028,none,Escherichia coli,38g/l,ethanol,Alcohol,,
20922,20028,none,-,-,-,-,,-
51347,20029,10.1007/s002530050803,Kluyveromyces marxianus,,,,,
20923,20029,10.1007/s002530050803,-,-,-,-,,-
51348,20030,10.1016/0168-1656(96)01391-0,Kluyveromyces marxianus,,,,,
20924,20030,10.1016/0168-1656(96)01391-0,-,-,-,-,,-
20926,20032,10.1002/(SICI)1097-0290(19960320)49:6<621::AID-BIT3>3.3.CO;2-V,NULL,NULL,NULL,NULL,,
51349,20035,10.1007/s002530050664,,,,,,
20929,20035,10.1007/s002530050664,-,-,-,-,,-
51350,20036,none,,,,,,
20930,20036,none,-,-,-,-,,-
51351,20039,10.1002/abio.370160223,Kluyveromyces marxianus,,,,,
20933,20039,10.1002/abio.370160223,-,-,-,-,,-
51352,20041,10.1007/BF00327813,Kluyveromyces marxianus,28 g/l,ethanol,Alcohol,,
20935,20041,10.1007/BF00327813,-,-,-,-,,-
51353,20046,none,Kluyveromyces marxianus,15 g/l,ethanol,Alcohol,ethanol,
20940,20046,none,-,-,-,-,,-
51354,20047,none,Kluyveromyces marxianus,10 g/l,ethanol,Alcohol,,
20941,20047,none,-,-,-,-,,-
51355,20050,10.1007/BF00367104,Kluyveromyces marxianus,,,,,
20944,20050,10.1007/BF00367104,-,-,-,-,,-
51356,20054,none,,,,,,
20948,20054,none,-,-,-,-,,-
51357,20060,10.1007/BF00136482,,,,,,
20954,20060,10.1007/BF00136482,-,-,-,-,,-
20963,20069,10.1007/BF02941806,NULL,NULL,NULL,NULL,,
20965,20071,10.1007/BF01021672,KLUYVEROMYCES FRAGILIS,64 g/L,ethanol,Alcohol,,
20967,20073,10.1007/BF02921851,NULL,NULL,NULL,NULL,,
20969,20075,10.1007/BF00130296,Kluyveromyces marxianus,33g/L,ethanol,Alcohol,,
21002,20076,10.1007/BF00156363,Kluyveromyces lactis,22 mg/L,acetoin,Other,,
20970,20076,10.1007/BF00156363,Kluyveromyces lactis,73 mg/L,isoamyl alcohol,Alcohol,,
20986,20076,10.1007/BF00156363,Kluyveromyces lactis,72 mg/L,2-phenylethanol,Alcohol,,
21006,20080,none,-,-,-,-,,-
51358,20080,none,,,,,,
20974,20080,none,-,-,-,-,,-
20990,20080,none,-,-,-,-,,-
21007,20081,none,-,-,-,-,,-
51359,20081,none,Kluyveromyces fragilis,,ethanol,Alcohol,,
20975,20081,none,-,-,-,-,,-
20991,20081,none,-,-,-,-,,-
21001,20091,10.1007/BF00138552,-,-,-,-,,-
21017,20091,10.1007/BF00138552,-,-,-,-,,-
51360,20091,10.1007/BF00138552,Kluyveromyces marxianus,52 g/l,ethanol,Alcohol,,
20985,20091,10.1007/BF00138552,-,-,-,-,,-
21018,20092,10.1007/BF02918990,NULL,NULL,NULL,NULL,,
21020,20094,10.1080/08905439309549854,-,-,-,-,,-
51361,20094,10.1080/08905439309549854,Saccharomyces cerevisiae,75 g/l,ethanol,Alcohol,ethanol,
21027,20101,none,-,-,-,-,,-
51362,20101,none,,,,,,
21029,20103,10.1002/bit.260400107,Escherichia coli,68 g/L,ethanol,Alcohol,,
21034,20108,none,NULL,NULL,NULL,NULL,,
21039,20113,10.1007/BF00368359,-,-,-,-,,-
51363,20113,10.1007/BF00368359,Kluyveromyces fragilis,72 g/L,ethanol,Alcohol,,
21042,20116,10.1007/BF02922610,NULL,NULL,NULL,NULL,,
21046,20120,10.1007/BF01575597,-,-,-,-,,-
51364,20120,10.1007/BF01575597,Saccharomyces cerevisiae,,,,,
21143,20217,10.1007/s10295-019-02196-0,Streptomyces clavuligerus,6.01g/L,clavulanic acid,Acid,,
21147,20221,10.1016/j.procbio.2019.04.006,Streptomyces albulus,3.04 g/L,e-poly-L-lysine,Polymer,,
21159,20233,10.1016/j.ymben.2019.01.005,Clostridium ljungdahlii,1.01 g/L,butyric acid,Acid,,
51365,20237,10.3389/fbioe.2018.00201,Escherichia coli,2.5g l(-1),aminophenylethanol,Alcohol,,
51366,20237,10.3389/fbioe.2018.00201,Escherichia coli,3.4g l(-1),4-aminophenylalanine,Special AA,,
21163,20237,10.3389/fbioe.2018.00201,-,-,-,-,,-
21168,20242,10.1002/jctb.5741,Streptomyces coeruleorubidus,124.1 mg L-1,4-epidaunorubicin,Other,,
21188,20262,10.1007/s00449-018-1961-9,Streptomyces albulus,35.7 g/L,e-poly-L-lysine,Polymer,,
21192,20266,10.1007/s10295-018-2048-y,Lactobacillus delbrueckii,133 g/L,lactic acid,Acid,,
21202,20276,10.1007/s10295-018-2024-6,Streptomyces venezuelae,43 mg/L,pikromycin,Other,,
51367,20284,10.1038/s41598-018-22134-x,,,,,sucrose,
21210,20284,10.1038/s41598-018-22134-x,-,-,-,-,,-
21211,20285,10.1007/s00253-017-8705-7,Streptomyces flavoviridis,70 mg/L,6-deoxybleomycin,Other,,
21217,20291,10.1016/j.ymben.2017.12.001,Amycolatopsis sp,3.1 g L-1,muconic acid,Acid,,
21218,20292,10.1007/s13205-017-1049-2,Streptomyces toxytricini,2519.34 mg/L,lipstatin,Other,,
21226,20300,10.1007/s10295-017-1974-4,Streptomyces tsukubaensis,128.19 mg/L,tacrolimus,Other,,
21228,20302,10.1186/s12934-017-0787-5,Streptomyces hygroscopicus,438.95 mg/L,ascomycin,Other,,
21243,20317,10.1016/j.synbio.2017.06.001,Streptomyces pristinaespiralis,132 mg/L,pristinamycin,Other,,
51368,20319,10.1016/j.enzmictec.2017.03.008,Saccharomyces cerevisiae,224 mg/l,spermidine,Other,,
21245,20319,10.1016/j.enzmictec.2017.03.008,-,-,-,-,,-
21256,20330,10.1007/s10295-016-1880-1,-,-,-,-,,-
51369,20330,10.1007/s10295-016-1880-1,Streptomyces hygroscopicus,250.8 mg/l,rapamycin,Other,,
21259,20333,10.1016/j.ymben.2016.10.012,S. erythraea,5001 mg/L,erythromycin,Other,,
21270,20344,10.1007/s12010-016-2190-9,Streptomyces albulus,56.5 g/L,e-poly-L-lysine,Polymer,,
21274,20348,10.1007/s00253-016-7873-1,-,-,-,-,,-
51370,20348,10.1007/s00253-016-7873-1,Streptomyces venezuelae,431 mg/l,oxytetracycline,Other,,
21288,20362,10.1186/s12934-016-0475-x,Escherichia coli,1.05 g/L,caryophyllene,Isoprenoid,,
21289,20363,10.1016/j.ymben.2016.02.012,Streptomyces albus,6.60 g/L,salinomycin,Other,,
21303,20377,10.1007/s00253-015-7082-3,NULL,NULL,NULL,NULL,,
21322,20396,10.1016/j.ymben.2015.09.016,Escherichia coli,500 mg/L,fatty acid ethyl ester,Other,,
21325,20399,10.4014/jmb.1506.06084,-,-,-,-,,-
51371,20399,10.4014/jmb.1506.06084,Streptomyces albulus,34.2 g/l,e-poly-L-lysine,Polymer,,
21326,20400,10.1111/jam.12919,-,-,-,-,,-
51372,20400,10.1111/jam.12919,Streptomyces lincolnensis,,,,,
21329,20403,10.1038/srep13670,Escherichia coli,97.2 mg/L,vanillin,Other,,
21333,20407,10.1007/s00449-015-1410-y,Streptomyces sp,3.11 g/L,e-poly-L-lysine,Polymer,,
21334,20408,10.1073/pnas.1502866112,Escherichia coli,10.31 g/L,penicillin,Other,,
21336,20410,10.1016/j.ymben.2015.04.006,Rhodococcus opacus,2.0 g/L,arabinose,Other,,
21340,20414,10.1007/s10295-015-1611-z,Streptomyces hygroscopicus,426.7 mg/L,rapamycin,Other,,
21344,20418,10.1007/s11274-015-1825-2,Escherichia coli,14.48 g/L,indole,Other,,
21349,20418,10.1007/s11274-015-1825-2,Escherichia coli,0.67 g/L,phenol,Other,,
21354,20423,10.1016/j.ymben.2014.12.003,Streptomyces hygroscopicus,24 g/L,validamycin,Other,,
21356,20425,10.1016/j.jbiotec.2014.12.013,-,-,-,-,,-
51373,20425,10.1016/j.jbiotec.2014.12.013,,,,,,
21369,20438,10.1007/s00253-014-5970-6,-,-,-,-,,-
51374,20438,10.1007/s00253-014-5970-6,,,,,,
21371,20440,10.1186/s12934-014-0158-4,S. erythraea,4230 mg/L,erythromycin,Other,,
21375,20444,10.14348/molcells.2014.0168,Saccharopolyspora spinosa,372 mg/L,spinosyn,Other,,
21377,20446,10.1007/s00253-014-5706-7,Streptomyces avermitilis,25.4 mg/L,daidzein,Other,,
21383,20452,10.1007/s10295-014-1473-9,Streptomyces hygroscopicus,460 mg/L,ascomycin,Other,,
21388,20457,10.1007/s12010-014-0948-5,Streptomyces actuosus,1.54 g/L,nosiheptide,Other,,
21393,20462,10.1007/s11274-013-1561-4,Streptomyces gilvosporeus,8.24 g/L,natamycin,Other,,
21396,20465,10.1007/s12223-013-0277-z,NULL,NULL,NULL,NULL,,
21404,20473,10.2166/wst.2014.356,NULL,NULL,NULL,NULL,,
21406,20475,10.4014/jmb.1308.08063,-,-,-,-,,-
51375,20475,10.4014/jmb.1308.08063,S. chromofuscus,,,,glycerol,
21420,20489,10.1007/s00253-013-5172-7,-,-,-,-,,-
51376,20489,10.1007/s00253-013-5172-7,Arthrobacter simplex,,,,acetate,
21435,20504,10.1007/s00253-013-4880-3,NULL,NULL,NULL,NULL,,
21436,20505,10.1007/s00253-013-4716-1,NULL,NULL,NULL,NULL,,
21437,20506,10.1007/s00253-013-4790-4,NULL,NULL,NULL,NULL,,
21443,20512,10.1007/s00253-013-4852-7,Streptomyces hygroscopicus,307 mg/L,rapamycin,Other,,
21445,20514,10.1186/1475-2859-12-52,Streptomyces tsukubaensis,435.9 mg/L,FK506,Other,,
51377,20517,10.1007/s00253-012-4413-5,Streptomyces sp,,FK506,Other,,
21448,20517,10.1007/s00253-012-4413-5,-,-,-,-,,-
51378,20523,10.1128/AEM.02792-12,Streptomyces lividans,,,,,
21454,20523,10.1128/AEM.02792-12,-,-,-,-,,-
21467,20536,10.1007/s12257-012-0296-7,Streptomyces ahygroscopicus,1.20 g/L,e-poly-L-lysine,Other,,
21468,20537,10.1111/1574-6968.12020,NULL,NULL,NULL,NULL,,
21493,20562,10.1021/jf300663w,Streptomyces gilvosporeus,4.69g/L,natamycin,Other,,
21526,20595,10.1186/1475-2859-10-71,Escherichia coli,0.74 g/L,mandelic acid,Acid,,
21528,20597,10.1016/j.ymben.2011.06.007,Thermobifida fusca,0.48 g/L,1-propanol,Alcohol,,
21529,20598,10.1007/s00253-011-3348-6,-,-,-,-,,-
51379,20598,10.1007/s00253-011-3348-6,Streptomyces hygroscopicus,42.8 mg/l,rapamycin,Other,,
21539,20608,10.1002/elsc.201000127,Streptomyces noursei,497.67 mg/L,e-poly-L-lysine,Polymer,,
21550,20619,10.1016/j.bej.2010.11.008,NULL,NULL,NULL,NULL,,
21553,20622,10.1016/j.bbrc.2010.12.013,-,-,-,-,,-
51380,20622,10.1016/j.bbrc.2010.12.013,,,,,,
21559,20628,10.1186/1475-2859-9-95,-,-,-,-,,-
51381,20628,10.1186/1475-2859-9-95,Amycolatopsis balhimycina,,,,glucose,
21594,20663,10.1016/j.jhazmat.2008.10.079,-,-,-,-,,-
51382,20663,10.1016/j.jhazmat.2008.10.079,Streptomyces sp,,,,,
21595,20664,10.1007/s00449-008-0272-y,NULL,NULL,NULL,NULL,,
21608,20677,10.1186/1475-2859-7-36,Saccharomyces cerevisiae,2.5 mg/L,butanol,Alcohol,,
21660,20729,none,NULL,NULL,NULL,NULL,,
21674,20743,none,-,-,-,-,,-
51383,20743,none,Streptomyces lincolnensis,3.0 g/l,lincomycin,Other,,
21704,20773,10.1002/bit.10630,NULL,NULL,NULL,NULL,,
51384,20788,none,Streptomyces sp,,,,hydrol,
21719,20788,none,-,-,-,-,,-
51385,20800,10.1023/A:1020451523561,,,,,glycerol,
21731,20800,10.1023/A:1020451523561,-,-,-,-,,-
51386,20815,10.1263/jbb.93.274,Streptomyces albulus,30 g/l,e-poly-L-lysine,Polymer,,
21746,20815,10.1263/jbb.93.274,-,-,-,-,,-
21796,20865,none,NULL,NULL,NULL,,,
21798,20867,10.1023/A:1008942405378,-,-,-,-,,-
51387,20867,10.1023/A:1008942405378,Streptomyces clavuligerus,920 mg/l,clavulanic acid,Acid,,
21805,20874,10.1016/S1389-1723(99)80162-5,-,-,-,-,,-
51388,20874,10.1016/S1389-1723(99)80162-5,Streptomyces aureofacience,10 g/l,tetracycline,Other,,
21812,20881,none,NULL,NULL,NULL,NULL,,
21820,20889,10.1023/A:1005439526114,-,-,-,-,,-
51389,20889,10.1023/A:1005439526114,,,,,glucose,
21882,20951,10.1007/s002530051104,-,-,-,-,,-
51390,20951,10.1007/s002530051104,Streptomyces peucetius,,,,glucose,
21934,21003,10.1016/S0922-338X(97)82790-0,-,-,-,-,,-
51391,21003,10.1016/S0922-338X(97)82790-0,Streptomyces thermotolerans,,,,,
21941,21010,10.1007/s002530050846,-,-,-,-,,-
51392,21010,10.1007/s002530050846,Pseudomonas sp,3.22 g/l,coniferol,Alcohol,ferulic acid,
21952,21021,10.7164/antibiotics.49.880,-,-,-,-,,-
51393,21021,10.7164/antibiotics.49.880,Streptomyces sp,,,,,
51394,21052,none,Streptomyces avidinii,,,,,
21983,21052,none,-,-,-,-,,-
51395,21072,10.1016/0922-338X(96)85047-1,Streptomyces fradiae,7.0 g/l,tylosin,Other,,
22003,21072,10.1016/0922-338X(96)85047-1,-,-,-,-,,-
51396,21081,10.1007/BF00166935,,,,,ethanol,
22012,21081,10.1007/BF00166935,-,-,-,-,,-
22016,21085,10.1111/j.1472-765X.1995.tb01072.x,-,-,-,-,,-
51397,21085,10.1111/j.1472-765X.1995.tb01072.x,Streptomyces rochei,,,,,
22017,21086,10.1016/0168-1656(95)00058-X,-,-,-,-,,-
51398,21086,10.1016/0168-1656(95)00058-X,Streptomyces,,,,L-glutamate,
22018,21087,none,-,-,-,-,,-
51399,21087,none,,,,,glucose,
22057,21126,10.1016/0922-338X(95)90824-J,-,-,-,-,,-
51400,21126,10.1016/0922-338X(95)90824-J,,,,,,
22102,21171,10.1007/BF02941833,NULL,NULL,NULL,NULL,,
22437,21506,10.1016/j.jbiosc.2019.01.005,Candida glycerinogenes,12.3 g/L,lactic acid,Acid,,
22441,21510,10.1007/s00253-019-09766-3,NULL,NULL,NULL,NULL,,
22452,21521,10.1051/e3sconf/20197802019,NULL,NULL,NULL,NULL,,
22453,21522,10.1111/jam.14125,-,-,-,-,,-
51401,21522,10.1111/jam.14125,,,,,,
22455,21524,10.1186/s13068-018-1319-1,Myceliophthora thermophila,17g/L,fumaric acid,Acid,,
22462,21531,10.1007/s10295-018-2074-9,Candida tropicalis,32.84g/L,long chain dicarboxylic acid,Acid,,
51402,21569,10.1007/s10529-017-2452-9,Candida glabrata,46.1 g/l,pyruvic acid,Acid,,
22500,21569,10.1007/s10529-017-2452-9,-,-,-,-,,-
22501,21570,10.1002/bit.26435,Mannheimia succiniciproducens,76.11g/L,succinic acid,Acid,,
22502,21571,10.1007/s00253-017-8589-6,NULL,NULL,NULL,NULL,,
22509,21578,10.1016/j.jhazmat.2017.04.026,NULL,NULL,NULL,NULL,,
22516,21585,10.1007/s13213-017-1274-2,Rhodotorula mucilaginosa,19.14mg L-1,b-carotene,Isoprenoid,,
22520,21589,10.1007/s00253-016-8062-y,Yarrowia lipolytica,9.8 g/L,lipid,Other,,
22527,21596,10.1186/s13068-016-0677-9,Saccharomyces cerevisiae,154.3 g/L,"2,3-Butanediol",Alcohol,,
22530,21599,10.1186/s13068-016-0668-x,NULL,NULL,NULL,NULL,,
22545,21614,10.1007/s10811-015-0633-2,NULL,NULL,NULL,NULL,,
22548,21617,10.1016/j.bej.2015.08.015,NULL,NULL,NULL,NULL,,
22558,21627,10.1002/biot.201500068,Saccharomyces cerevisiae,196.2 g/L,xylitol,Alcohol,,
22564,21633,10.1016/j.ymben.2015.02.002,Candida glabrata,15.76 g L-1,fumarate,Acid,,
22571,21640,10.1007/s00253-015-6630-1,-,-,-,-,,-
51403,21640,10.1007/s00253-015-6630-1,Escherichia coli,610 mg/l,hydroxypalmitic acid,Acid,,
22576,21645,10.1007/s10295-014-1578-1,-,-,-,-,,-
51404,21645,10.1007/s10295-014-1578-1,Escherichia coli,48.62 g/l,allitol,Alcohol,,
22582,21651,10.1016/j.ymben.2014.11.008,Candida glabrata,3.26 g/L,acetoin,Other,,
22590,21659,10.1002/bit.25334,Torulopsis glabrata,8.83 g L-1,fumaric acid,Acid,,
22594,21663,10.1007/s12010-014-1086-9,NULL,NULL,NULL,NULL,,
22607,21676,none,Torulopsis glabrata,0.95 g/L,diacetyl,Other,,
22608,21677,10.1007/s11274-013-1551-6,NULL,NULL,NULL,NULL,,
22614,21683,10.1016/j.ymben.2013.12.005,Candida glabrata,7.33 g/L,acetoin,Other,,
22615,21684,10.1007/s13213-013-0654-5,Escherichia coli,154.0 mg/L,butanol,Alcohol,,
22630,21699,10.1016/j.jbiotec.2013.10.023,NULL,NULL,NULL,NULL,,
22637,21706,10.1007/s00449-012-0872-4,-,-,-,-,,-
51405,21706,10.1007/s00449-012-0872-4,,,,,,
22639,21708,10.1016/j.ymben.2013.05.002,Torulopsis glabrata,8.5 g L-1,malate,Acid,,
22647,21716,10.1007/s00253-013-4964-0,Candida utilis,27.2 g/L,isopropanol,Alcohol,,
22658,21727,10.1177/2211068212452873,Scheffersomyces stipitis,19.6 g/L,ethanol,Alcohol,,
22675,21744,10.1007/s11274-011-0945-6,-,-,-,-,,-
51406,21744,10.1007/s11274-011-0945-6,Candida etchellsii,,,,,
22688,21757,10.1007/s12010-011-9275-2,-,-,-,-,,-
51407,21757,10.1007/s12010-011-9275-2,Pichia pastoris,,,,ethanol,
22692,21761,none,NULL,NULL,NULL,NULL,,
22697,21766,10.1007/s10295-010-0894-3,-,-,-,-,,-
51408,21766,10.1007/s10295-010-0894-3,,,,,,
22700,21769,10.1007/s00253-010-2997-1,-,-,-,-,,-
51409,21769,10.1007/s00253-010-2997-1,Debaryomyces nepalensis,,xylitol,Alcohol,,
22727,21796,10.1016/j.procbio.2009.05.012,-,-,-,-,,-
51410,21796,10.1016/j.procbio.2009.05.012,Pichia pastoris,73.9 mg/l,lycopene,Isoprenoid,,
51411,21812,10.1016/j.ibiod.2007.12.010,,,,,methane,
22743,21812,10.1016/j.ibiod.2007.12.010,-,-,-,-,,-
22748,21817,10.1002/bit.21581,Saccharomyces cerevisiae,16.9 mg/L,patchoulol,Isoprenoid,,
22749,21817,10.1002/bit.21581,Saccharomyces cerevisiae,20.2 mg/L,farnesol,Isoprenoid,,
22750,21818,none,Yarrowia lipolytica,150 g/L,citric acid,Acid,,
22755,21823,10.1016/j.ymben.2006.07.007,Torulopsis glabrata,69 g/L,pyruvate,Acid,,
22757,21823,10.1016/j.ymben.2006.07.007,Torulopsis glabrata,43.7 g/L,alpha-ketoglutaric acid,Acid,,
51412,21824,none,Trichosporon cutaneum,,,,,
22756,21824,none,-,-,-,-,,-
22758,21824,none,-,-,-,-,,-
22759,21825,10.1002/bit.21082,Escherichia coli,38 g/L,xylitol,Alcohol,,
22762,21828,10.1016/j.ymben.2006.04.004,NULL,NULL,NULL,NULL,,
51413,21831,none,,,,,,
22765,21831,none,-,-,-,-,,-
51414,21835,10.2225/vol8-issue2-fulltext-11,Candida oleophila,57.8 g/l,citric acid,Acid,,
22769,21835,10.2225/vol8-issue2-fulltext-11,-,-,-,-,,-
51415,21838,10.1016/j.jbiotec.2005.03.014,Lactococcus lactis,,,,,
22772,21838,10.1016/j.jbiotec.2005.03.014,-,-,-,-,,-
51416,21843,10.1016/j.procbio.2003.09.017,Candida krusei,54.9 g l(-1),glycerol,Alcohol,,
22777,21843,10.1016/j.procbio.2003.09.017,-,-,-,-,,-
22784,21850,none,-,-,-,-,,-
51417,21850,none,Candida utilis,,,,cellulose,
22785,21851,none,NULL,NULL,NULL,NULL,,
22787,21853,10.1023/B:WIBI.0000013313.44873.83,-,-,-,-,,-
51418,21853,10.1023/B:WIBI.0000013313.44873.83,Lactobacillus helveticus,,,,,
22791,21857,10.1007/s00449-003-0332-2,-,-,-,-,,-
51419,21857,10.1007/s00449-003-0332-2,Candida guilliermondii,,,,,
22800,21866,10.1002/bit.10631,NULL,NULL,NULL,NULL,,
22826,21892,none,NULL,NULL,NULL,NULL,,
22827,21893,10.1002/bit.10027,Candida tropicalis,153.9 g/L,long chain dicarboxylic acid,Acid,,
22830,21896,none,-,-,-,-,,-
51420,21896,none,Candida utilis,,,,,
22831,21897,10.1023/A:1012435413933,-,-,-,-,,-
51421,21897,10.1023/A:1012435413933,Candida tropicalis,,,,,
22846,21912,none,Torulopsis glabrata,69.4 g/L,pyruvate,Acid,,
22847,21913,10.1016/S0141-0229(00)00217-9,-,-,-,-,,-
51422,21913,10.1016/S0141-0229(00)00217-9,Candida cloacae,,,,,
22854,21920,10.1128/AEM.66.3.1233-1236.2000,-,-,-,-,,-
51423,21920,10.1128/AEM.66.3.1233-1236.2000,Yarrowia lipolytica,,,,,
22861,21927,10.1016/S0960-8524(99)00024-3,-,-,-,-,,-
51424,21927,10.1016/S0960-8524(99)00024-3,,,,,glycerol,
22865,21931,10.1023/A:1005566420982,-,-,-,-,,-
51425,21931,10.1023/A:1005566420982,Candida magnoliae,25 g/L,erythritol,Alcohol,glucose,
22866,21932,10.1023/A:1005574624617,-,-,-,-,,-
51426,21932,10.1023/A:1005574624617,Candida parapsilosis,33 g l(-1),xylitol,Alcohol,,
22867,21933,none,-,-,-,-,,-
51427,21933,none,,,,,,
22868,21934,10.1139/cjm-45-8-695,NULL,NULL,NULL,NULL,,
22871,21937,10.1016/S0168-1656(99)00102-9,-,-,-,-,,-
51428,21937,10.1016/S0168-1656(99)00102-9,Candida boidinii,,,,ethanol,
22883,21949,none,-,-,-,-,,-
51429,21949,none,NULL,NULL,,NULL,,
22895,21961,none,NULL,NULL,NULL,NULL,,
22896,21962,none,NULL,NULL,NULL,NULL,,
22904,21970,10.1016/S1381-1177(97)00025-8,-,-,-,-,,-
51430,21970,10.1016/S1381-1177(97)00025-8,,,,,,
22921,21987,10.1271/bbb.61.1391,-,-,-,-,,-
51431,21987,10.1271/bbb.61.1391,Pichia methanolica,8.1 g/l,methyl formate,Other,ethanol,
22923,21989,10.1016/S0141-0229(96)00247-5,-,-,-,-,,-
51432,21989,10.1016/S0141-0229(96)00247-5,Candida parapsilosis,,,,,
22925,21991,10.1016/S0960-8524(97)84703-7,-,-,-,-,,-
51433,21991,10.1016/S0960-8524(97)84703-7,Candida sp,,,,,
22926,21992,10.1023/A:1018322311552,-,-,-,-,,-
51434,21992,10.1023/A:1018322311552,,,,,,
22927,21993,10.1023/A:1018375506584,-,-,-,-,,-
51435,21993,10.1023/A:1018375506584,,,,,,
22928,21994,none,-,-,-,-,,-
51436,21994,none,Candida guilliermondii,80 g/l,xylitol,Alcohol,,
22934,22000,10.1007/BF02920453,NULL,NULL,NULL,NULL,,
22936,22002,10.1007/s002530050906,-,-,-,-,,-
51437,22002,10.1007/s002530050906,Candida famata,,,,,
22938,22004,10.1016/S0168-1656(96)01646-X,-,-,-,-,,-
51438,22004,10.1016/S0168-1656(96)01646-X,Candida rugosa,,,,,
22939,22005,10.1016/S0961-9534(97)00032-9,-,-,-,-,,-
